Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Description8,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
CtG14A.5,2018-2022,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,no.,46,14,97,35,16,2,3,45,np,
CtG14A.9,2017-2021,Mortality due to suicide,81,Males,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,25.7
CtG14A.10,2017-2021,Mortality due to suicide,1,Females,Aboriginal and Torres Strait Islander people,Inner regional,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,Females,Inner regional,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,,50
CtG14A.2,2015-2019,Mortality due to suicide,89,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),10.7,np,14.9,13.7,12.7,np,np,15.9,12.6,
CtG14A.5,2015-2019,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,45,11,56,32,12,2,1,16,np,
CtG14A.6,2018-2022,Mortality due to suicide,35,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,8.3,
CtG14A.7,2018-2022,Mortality due to suicide,99,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,30.8
CtG14A.4,2015-2019,Mortality due to suicide,10,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),8.7,np,12.1,20.6,np,np,np,13.4,12.4,
CtG14A.5,2014-2018,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,22.7,np,61.1,75.2,21.3,np,np,61,46,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,4.3,np,7.9,13.2,np,np,np,13.7,7.7,
CtG14A.5,2018-2022,Mortality due to suicide,25,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,12.3,np,17.5,18,16.5,np,np,11.2,15,
CtG14A.6,2016-2020,Mortality due to suicide,45,Males,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,24.3,
CtG14A.1,2026,Mortality due to suicide,31,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,33,
CtG14A.6,2015-2019,Mortality due to suicide,5,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,7.8,
CtG14A.10,2015-2019,Mortality due to suicide,33,Females,Aboriginal and Torres Strait Islander people,Very remote,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,Females,Very remote,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,,49
CtG14A.6,2017-2021,Mortality due to suicide,35,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,18.5,
CtG14A.10,2016-2020,Mortality due to suicide,88,Females,Aboriginal and Torres Strait Islander people,Remote,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,Females,Remote,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,,20
CtG14A.9,2017-2021,Mortality due to suicide,84,Males,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,34
CtG14A.6,2017-2021,Mortality due to suicide,25,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,6.5,
CtG14A.2,2011-2015,Mortality due to suicide,76,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),12.4,np,22.6,39.4,25.8,np,np,28.1,22.2,
CtG14A.2,2017-2021,Mortality due to suicide,37,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,rate (AS),20.8,np,28.1,34.7,24,np,np,30.9,26.4,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,19.8,np,16.8,19.3,14.6,np,np,19.4,18.5,
CtG14A.5,2016-2020,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.5,np,22.1,18.8,18.1,np,np,13.2,17.6,
CtG14A.6,2018-2022,Mortality due to suicide,42,Males,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,All ages,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,19.2,
CtG14A.6,2016-2020,Mortality due to suicide,5,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,1.5,
CtG14A.2,2017-2021,Mortality due to suicide,23,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,,,ABS Causes of Death Australia,no.,252,68,318,179,51,10,11,129,929,
CtG14A.6,2018-2022,Mortality due to suicide,45,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,7.1,
CtG14A.9,2014-2018,Mortality due to suicide,16,Females,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,5.9
CtG14A.6,2016-2020,Mortality due to suicide,35,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,75.1,
CtG14A.3,2013,Mortality due to suicide,61,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,33.7,
CtG14A.10,2017-2021,Mortality due to suicide,12,Females,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,Females,Major cities,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,,96
CtG14A.9,2017-2021,Mortality due to suicide,15,Females,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16.5
CtG14A.9,2018-2022,Mortality due to suicide,88,Males,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,23.5
CtG14A.5,2018-2022,Mortality due to suicide,25,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,25-34 years old,,ABS (unpublished) Causes of Death Australia,no.,73,31,84,77,14,6,3,32,np,
CtG14A.6,2015-2019,Mortality due to suicide,10,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,All ages,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,34.8,
CtG14A.9,2015-2019,Mortality due to suicide,73,Females,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,11.6
CtG14A.5,2017-2021,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,14.1,np,21.9,19,17.7,np,np,11.1,17.3,
CtG14A.8,2015-2019,Mortality due to suicide,77,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,no.,127,26,150,26,11,7,0,18,,
CtG14A.3,2009,Mortality due to suicide,8,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,7.8,
CtG14A.6,2014-2018,Mortality due to suicide,25,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,21.7,
CtG14A.5,2015-2019,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,19,3,24,22,1,3,0,14,np,
CtG14A.2,2014-2018,Mortality due to suicide,27,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),10.7,np,14.7,13.2,12.9,np,np,16.2,12.5,
CtG14A.7,2018-2022,Mortality due to suicide,46,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.7
CtG14A.8,2014-2018,Mortality due to suicide,98,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,no.,6,0,44,91,1,0,..,85,,
CtG14A.5,2018-2022,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.7,np,16.9,15.3,13.9,np,np,24.1,14,
CtG14A.9,2015-2019,Mortality due to suicide,61,Males,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,31.7
CtG14A.9,2016-2020,Mortality due to suicide,39,Males,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,15.6
CtG14A.6,2018-2022,Mortality due to suicide,18,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,6.8,
CtG14A.5,2018-2022,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,48.6,np,54.9,69.6,43.2,np,np,39.9,52.3,
CtG14A.7,2017-2021,Mortality due to suicide,84,All people,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,16
CtG14A.1,2021,Mortality due to suicide,65,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,28.4,
CtG14A.5,2016-2020,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,2,np,2.6,2.4,1.9,np,np,4.8,2.2,
CtG14A.1,2025,Mortality due to suicide,58,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,32.1,
CtG14A.4,2017-2021,Mortality due to suicide,13,Males,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),16.2,np,23.2,20.6,19.3,np,np,17.4,19.1,
CtG14A.6,2018-2022,Mortality due to suicide,45,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,10.3,
CtG14A.9,2015-2019,Mortality due to suicide,39,Females,Non-Indigenous people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,5.6
CtG14A.6,2016-2020,Mortality due to suicide,25,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,25-34 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,70.6,
CtG14A.6,2017-2021,Mortality due to suicide,64,Males,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,All ages,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,19.4,
CtG14A.5,2014-2018,Mortality due to suicide,5,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,1.9,np,2.5,2,1.8,np,np,5.8,2.1,
CtG14A.9,2017-2021,Mortality due to suicide,90,Females,Non-Indigenous people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,6.7
CtG14A.9,2014-2018,Mortality due to suicide,36,Females,Non-Indigenous people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,6.4
CtG14A.5,2014-2018,Mortality due to suicide,45,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,14.1,np,18.2,17,15.5,np,np,23,15.9,
CtG14A.1,2018,Mortality due to suicide,28,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,25.7,
CtG14A.5,2018-2022,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,68,15,68,43,10,2,4,21,np,
CtG14A.6,2016-2020,Mortality due to suicide,18,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,27.4,
CtG14A.10,2015-2019,Mortality due to suicide,81,Males,Aboriginal and Torres Strait Islander people,Very remote,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,Males,Very remote,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,,100
CtG14A.9,2018-2022,Mortality due to suicide,96,Females,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,Major cities,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,13.6
CtG14A.5,2016-2020,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,20.6,np,15.8,15.4,15,np,np,16.5,17.7,
CtG14A.5,2014-2018,Mortality due to suicide,18,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,11.6,np,16.5,13.8,12.2,np,np,22.9,13.5,
CtG14A.6,2017-2021,Mortality due to suicide,35,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,8.4,
CtG14A.7,2015-2019,Mortality due to suicide,52,All people,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,28.3
CtG14A.1,2030,Mortality due to suicide,58,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,36.7,
CtG14A.6,2016-2020,Mortality due to suicide,5,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,7,
CtG14A.6,2016-2020,Mortality due to suicide,45,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,7.4,
CtG14A.5,2015-2019,Mortality due to suicide,35,All people,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,15.2,np,23,19.5,18.2,np,np,16.4,18.4,
CtG14A.5,2014-2018,Mortality due to suicide,35,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,35-44 years old,,ABS (unpublished) Causes of Death Australia,no.,33,10,52,34,16,4,1,18,np,
CtG14A.6,2018-2022,Mortality due to suicide,64,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,All ages,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,14,
CtG14A.1,2019,Mortality due to suicide,94,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,1.8,
CtG14A.2,2013-2017,Mortality due to suicide,7,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,no.,173,34,249,195,45,6,7,105,767,
CtG14A.4,2018-2022,Mortality due to suicide,62,Males,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),16.1,np,22.8,19.7,19.6,np,np,18.4,18.9,
CtG14A.5,2017-2021,Mortality due to suicide,5,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,5-17 years old,,ABS (unpublished) Causes of Death Australia,no.,17,1,27,16,4,0,0,14,np,
CtG14A.6,2016-2020,Mortality due to suicide,5,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,8.4,
CtG14A.8,2014-2018,Mortality due to suicide,8,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,no.,77,10,85,76,23,..,7,..,,
CtG14A.8,2015-2019,Mortality due to suicide,92,All people,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,no.,127,26,150,26,11,7,0,18,,
CtG14A.5,2017-2021,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,no.,63,18,42,22,7,3,4,17,np,
CtG14A.3,2015,Mortality due to suicide,39,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,6.3,
CtG14A.5,2014-2018,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,45+ years old,,ABS (unpublished) Causes of Death Australia,rate,16.3,np,13.6,17.6,16.1,np,np,12.6,15.3,
CtG14A.9,2017-2021,Mortality due to suicide,30,Males,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,43.9
CtG14A.6,2017-2021,Mortality due to suicide,35,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,8.4,
CtG14A.9,2014-2018,Mortality due to suicide,48,Females,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,9.6
CtG14A.6,2014-2018,Mortality due to suicide,5,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,7.8,
CtG14A.5,2015-2019,Mortality due to suicide,18,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,All people,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,23.9,np,67.8,62.9,31.4,np,np,75.8,48.9,
CtG14A.3,2015,Mortality due to suicide,37,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,19.5,
CtG14A.9,2016-2020,Mortality due to suicide,63,Females,Aboriginal and Torres Strait Islander people,Inner and outer regional,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,Inner and outer regional,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,11.1
CtG14A.6,2016-2020,Mortality due to suicide,18,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,18-24 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,27.4,
CtG14A.9,2015-2019,Mortality due to suicide,42,Males,Aboriginal and Torres Strait Islander people,Remote and very remote,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,Remote and very remote,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,,42.7
CtG14A.6,2017-2021,Mortality due to suicide,5,Males,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Males,5-17 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,2.9,
CtG14A.8,2016-2020,Mortality due to suicide,39,All people,Aboriginal and Torres Strait Islander people,Major cities,Suicide deaths,five-year aggregate,Number,,,Aboriginal and Torres Strait Islander people,,Major cities,,ABS (unpublished) Causes of Death Australia,no.,101,23,94,66,27,..,10,..,,
CtG14A.6,2017-2021,Mortality due to suicide,35,Females,Non-Indigenous people,All areas,Suicide deaths,five-year aggregate,Rate per 100000 people,,,Non-Indigenous people,Females,35-44 years old,,ABS (unpublished) Causes of Death Australia,rate,,,,,,,,,8.4,
